Algae_1,t.p.i_1,Algae_2,t.p.i_2,estimate,SE,df,t.ratio,p.value,label
M. gaditana,2,M. gaditana,10,3.3740126350326936,0.4057675262670402,4512.850966625657,8.315137157654695,4.3413604045028364e-8,***
M. gaditana,2,N. oculata,10,5.13902463329912,0.6940422421320847,4512.850966625657,7.4044839367588535,4.3443165398393546e-8,***
M. gaditana,2,C. velia,10,2.2766377204845676,0.25803996088125003,4512.850966625657,8.822810671298607,4.341351722558784e-8,***
N. oculata,2,C. velia,2,-2.5407923473770007,0.3665492474870523,4512.850966625657,-6.931653426642895,4.431467481857965e-8,***
N. oculata,2,SSB01,3,-3.8684679907396,0.38820196185171735,4512.850966625657,-9.965091294971998,4.34135560833937e-8,***
N. oculata,2,M. gaditana,3,-2.2384523782024157,0.37502963086450963,4512.850966625657,-5.968734718487142,5.288158753113947e-7,***
N. oculata,2,N. oculata,3,0.9630278813309315,0.5856842263149953,4512.850966625657,1.6442783296215862,0.9856141119025875,
N. oculata,2,C. velia,3,-2.226122963781144,0.3695204043664536,4512.850966625657,-6.02435734935356,3.8931043766510243e-7,***
N. oculata,2,SSB01,6,-3.627596827914862,0.37284644388841687,4512.850966625657,-9.729466077462458,4.341356141246422e-8,***
N. oculata,2,M. gaditana,6,-1.1646899818840761,0.4152858846615215,4512.850966625657,-2.8045498893692375,0.3527466087096127,
N. oculata,2,N. oculata,6,1.1464190197477662,0.5909118508224643,4512.850966625657,1.9400846643236478,0.9251924753288613,
N. oculata,2,C. velia,6,-2.3381034342386715,0.3664344181143403,4512.850966625657,-6.380687289885258,8.015688468532289e-8,***
N. oculata,2,SSB01,10,-3.7016938965004593,0.3737828603536905,4512.850966625657,-9.903327009156456,4.34135560833937e-8,***
N. oculata,2,M. gaditana,10,0.3581032958811027,0.5129032559360023,4512.850966625657,0.6981887748550093,0.9999999596004432,
N. oculata,2,N. oculata,10,2.1231152941475293,0.7438196067133251,4512.850966625657,2.8543416642763995,0.3191885835287631,
N. oculata,2,C. velia,10,-0.7392716186670233,0.4031851268641046,4512.850966625657,-1.8335785955621278,0.9554810943938392,
C. velia,2,SSB01,3,-1.3276756433625991,0.2280071222842117,4512.850966625657,-5.822956888634587,1.2062174998828112e-6,***
C. velia,2,M. gaditana,3,0.302339969174585,0.20503364967503712,4512.850966625657,1.4745870721892287,0.9960088429062379,
C. velia,2,N. oculata,3,3.5038202287079323,0.5078001747580776,4512.850966625657,6.8999980757730075,4.453746171861894e-8,***
C. velia,2,C. velia,3,0.31466938359585667,0.19443575441638097,4512.850966625657,1.6183720146552745,0.987958329945162,
C. velia,2,SSB01,6,-1.0868044805378616,0.20109005397844318,4512.850966625657,-5.404566059017354,1.2731726961145995e-5,***
C. velia,2,M. gaditana,6,1.3761023654929245,0.2710676293104771,4512.850966625657,5.076601617807916,7.295184683109301e-5,***
C. velia,2,N. oculata,6,3.687211367124767,0.5141310869446486,4512.850966625657,7.171733942479406,4.357704519453165e-8,***
C. velia,2,C. velia,6,0.2026889131383293,0.18863516830661464,4512.850966625657,1.0745022519282892,0.9999517406784533,
C. velia,2,SSB01,10,-1.1609015491234589,0.2029703543763224,4512.850966625657,-5.719562113839834,2.176828145961096e-6,***
C. velia,2,M. gaditana,10,2.8988956432581032,0.40434008274982486,4512.850966625657,7.16944910220964,4.35797660180981e-8,***
C. velia,2,N. oculata,10,4.66390764152453,0.6920270861847585,4512.850966625657,6.739487130825039,4.680845222537755e-8,***
C. velia,2,C. velia,10,1.8015207287099775,0.2518119316805154,4512.850966625657,7.154231003619177,4.359905747541859e-8,***
SSB01,3,M. gaditana,3,1.630015612537184,0.23730070302780848,4512.850966625657,6.868987709430292,4.480773663217974e-8,***
SSB01,3,N. oculata,3,4.831495872070532,0.517671015407081,4512.850966625657,9.333139635548626,4.341356740766855e-8,***
SSB01,3,C. velia,3,1.6423450269584559,0.22880456819906037,4512.850966625657,7.177938097501676,4.35698745970825e-8,***
SSB01,3,SSB01,6,0.24087116282473758,0.2342416715588224,4512.850966625657,1.0283019294636924,0.9999754774197045,
SSB01,3,M. gaditana,6,2.7037780088555237,0.2972685969653576,4512.850966625657,9.095404077177415,4.341357640047505e-8,***
SSB01,3,N. oculata,6,5.0148870104873655,0.5286388683545229,4512.850966625657,9.486413713953803,4.341354109538287e-8,***
SSB01,3,C. velia,6,1.5303645565009283,0.22485249824253334,4512.850966625657,6.806082069189316,4.5566035389299486e-8,***
SSB01,3,SSB01,10,0.1667740942391403,0.23584807669320332,4512.850966625657,0.7071250975520311,0.9999999496402006,
SSB01,3,M. gaditana,10,4.226571286620702,0.42261852052660687,4512.850966625657,10.000913545753159,4.341354564729727e-8,***
SSB01,3,N. oculata,10,5.991583284887129,0.7031279878377312,4512.850966625657,8.52132668379839,4.3413557193616725e-8,***
SSB01,3,C. velia,10,3.1291963720725766,0.2805821047600143,4512.850966625657,11.152515855382228,4.341343717850776e-8,***
M. gaditana,3,N. oculata,3,3.2014802595333474,0.5091951093340142,4512.850966625657,6.287335052610036,1.1031913493830814e-7,***
M. gaditana,3,C. velia,3,0.012329414421271695,0.20624231413414082,4512.850966625657,0.05978120674718863,1,
M. gaditana,3,SSB01,6,-1.3891444497124465,0.21282836509935935,4512.850966625657,-6.527064421436126,5.7529027763791873e-8,***
M. gaditana,3,M. gaditana,6,1.0737623963183396,0.27868767151342283,4512.850966625657,3.8529239219203224,0.017164236825028878,*
M. gaditana,3,N. oculata,6,3.3848713979501817,0.5188799317924486,4512.850966625657,6.523419370368185,5.78729636435682e-8,***
M. gaditana,3,C. velia,6,-0.09965105603625568,0.20151469653766116,4512.850966625657,-0.49451011637571485,0.9999999999129547,
M. gaditana,3,SSB01,10,-1.4632415182980438,0.21459344304903957,4512.850966625657,-6.818668350289059,4.538748354931954e-8,***
M. gaditana,3,M. gaditana,10,2.5965556740835183,0.4082356950934223,4512.850966625657,6.360432723770792,8.528933848062081e-8,***
M. gaditana,3,N. oculata,10,4.3615676723499455,0.6955248995159292,4512.850966625657,6.27090083386735,1.1769920704729486e-7,***
M. gaditana,3,C. velia,10,1.4991807595353925,0.26213158167961087,4512.850966625657,5.719191674384963,2.1814311523815633e-6,***
N. oculata,3,C. velia,3,-3.1891508451120756,0.5056735651671027,4512.850966625657,-6.306738308652149,1.0252393756182698e-7,***
N. oculata,3,SSB01,6,-4.590624709245794,0.5109973922235999,4512.850966625657,-8.983655844640886,4.341353943004833e-8,***
N. oculata,3,M. gaditana,6,-2.1277178632150076,0.5432001170607162,4512.850966625657,-3.9170055314571695,0.013501245513630411,*
N. oculata,3,N. oculata,6,0.18339113841683452,0.676988756692369,4512.850966625657,0.2708924433440324,1,
N. oculata,3,C. velia,6,-3.301131315569603,0.506280365748459,4512.850966625657,-6.520362113370482,5.8167745731196874e-8,***
N. oculata,3,SSB01,10,-4.664721777831391,0.5116283822511342,4512.850966625657,-9.117402278010644,4.341357273673907e-8,***
N. oculata,3,M. gaditana,10,-0.6049245854498289,0.621698620032479,4512.850966625657,-0.9730190255500747,0.9999897132221814,
N. oculata,3,N. oculata,10,1.1600874128165979,0.8078188836179615,4512.850966625657,1.4360736500995603,0.9971375946397375,
N. oculata,3,C. velia,10,-1.7022994999979548,0.5337341993238723,4512.850966625657,-3.1894143229989873,0.14422992099537058,
C. velia,3,SSB01,6,-1.401473864133718,0.2031102511323237,4512.850966625657,-6.900064651196143,4.4536941024020393e-8,***
C. velia,3,M. gaditana,6,1.061432981897068,0.272584070722738,4512.850966625657,3.893965553756502,0.014727760722248462,*
C. velia,3,N. oculata,6,3.3725419835289103,0.5148709435465585,4512.850966625657,6.55026667517496,5.551993331742722e-8,***
C. velia,3,C. velia,6,-0.11198047045752738,0.19076765565824383,4512.850966625657,-0.5869992482275821,0.9999999980917036,
C. velia,3,SSB01,10,-1.4755709327193154,0.2049718225886258,4512.850966625657,-7.198896482863186,4.354786187210635e-8,***
C. velia,3,M. gaditana,10,2.584226259662247,0.4053785756822384,4512.850966625657,6.374846661082376,8.157023678734276e-8,***
C. velia,3,N. oculata,10,4.349238257928674,0.6925487023807299,4512.850966625657,6.280046793788768,1.1349923312309329e-7,***
C. velia,3,C. velia,10,1.4868513451141208,0.25340114349837145,4512.850966625657,5.867579461509717,9.353556615909753e-7,***
SSB01,6,M. gaditana,6,2.462906846030786,0.27552549250836755,4512.850966625657,8.938943629529994,4.341352188852454e-8,***
SSB01,6,N. oculata,6,4.774015847662628,0.5140176432943897,4512.850966625657,9.287649772224725,4.341357684456426e-8,***
SSB01,6,C. velia,6,1.2894933936761908,0.19683105279812257,4512.850966625657,6.551270113861273,5.5439672186352595e-8,***
SSB01,6,SSB01,10,-0.07409706858559728,0.21023665532131322,4512.850966625657,-0.35244600173243684,1,
SSB01,6,M. gaditana,10,3.985700123795965,0.40843409283808835,4512.850966625657,9.758490277098337,4.341357273673907e-8,***
SSB01,6,N. oculata,10,5.750712122062391,0.6944275139397584,4512.850966625657,8.281227351486056,4.3413615369303216e-8,***
SSB01,6,C. velia,10,2.888325209247839,0.25908714666435606,4512.850966625657,11.148083748784442,4.34134389548646e-8,***
M. gaditana,6,N. oculata,6,2.3111090016318423,0.5414368177325468,4512.850966625657,4.268474041551897,0.0032869488441400474,**
M. gaditana,6,C. velia,6,-1.1734134523545954,0.26717534152496214,4512.850966625657,-4.391922718829813,0.001928836152806257,**
M. gaditana,6,SSB01,10,-2.5370039146163834,0.2783974216679674,4512.850966625657,-9.11288581415872,4.341357362491749e-8,***
M. gaditana,6,M. gaditana,10,1.522793277765179,0.44305927529229766,4512.850966625657,3.4369967241077455,0.07063745208216932,
M. gaditana,6,N. oculata,10,3.2878052760316057,0.7187499237323843,4512.850966625657,4.574338260738056,8.487789711018046e-4,***
M. gaditana,6,C. velia,10,0.42541836321705284,0.31664277306593636,4512.850966625657,1.3435277840005069,0.9988004300454785,
N. oculata,6,C. velia,6,-3.4845224539864375,0.5100204610560863,4512.850966625657,-6.832122865759397,4.521266094847931e-8,***
N. oculata,6,SSB01,10,-4.848112916248225,0.5179187492083088,4512.850966625657,-9.360759624282874,4.3413562078598034e-8,***
N. oculata,6,M. gaditana,10,-0.7883157238666634,0.6268068261276856,4512.850966625657,-1.2576693344850032,0.9995149058014507,
N. oculata,6,N. oculata,10,0.9766962743997634,0.8111270210306539,4512.850966625657,1.204122472900397,0.9997385264340577,
N. oculata,6,C. velia,10,-1.8856906384147893,0.5397766849237845,4512.850966625657,-3.4934644105294126,0.0591909479135555,
C. velia,6,SSB01,10,-1.363590462261788,0.19942012943860035,4512.850966625657,-6.8377774405247544,4.5143799809466145e-8,***
C. velia,6,M. gaditana,10,2.696206730119774,0.402533934957319,4512.850966625657,6.698085542541041,4.791053753727681e-8,***
C. velia,6,N. oculata,10,4.461218728386201,0.6908420723395308,4512.850966625657,6.457653502888615,6.568931198991379e-8,***
C. velia,6,C. velia,10,1.598831815571648,0.24902137397629154,4512.850966625657,6.420460179951731,7.180406258466832e-8,***
SSB01,10,M. gaditana,10,4.059797192381562,0.4064203859360509,4512.850966625657,9.989157367269366,4.3413549533077855e-8,***
SSB01,10,N. oculata,10,5.824809190647989,0.6901076825315305,4512.850966625657,8.44043522205226,4.341357140447144e-8,***
SSB01,10,C. velia,10,2.9624222778334364,0.25904239181737243,4512.850966625657,11.436052057155088,4.3413371453304705e-8,***
M. gaditana,10,N. oculata,10,1.7650119982664267,0.7548173419423148,4512.850966625657,2.3383299510907554,0.7073771687393088,
M. gaditana,10,C. velia,10,-1.097374914548126,0.43111156012824786,4512.850966625657,-2.5454546248346412,0.5480662303536737,
N. oculata,10,C. velia,10,-2.8623869128145527,0.7024025890160729,4512.850966625657,-4.075137189947137,0.0072925679429876045,**
