"Col0","apoapo_rep1","apoapo_rep2","apoapo_rep3","apoapo_rep4","apoapo_rep5","aposym_rep1","aposym_rep2","aposym_rep3","aposym_rep4","aposym_rep5","symsym_rep1","symsym_rep2","symsym_rep3","symsym_rep4","symsym_rep5","symsym_rep6","apona_rep1","apona_rep2","apona_rep3","nana_rep1","nana_rep2","nana_rep3"
"XM_021038952.1",919.651492,1.999999,212.651856,1.999999,0,0,2226.309578,387.833275,581.322216,0,0,0,0,0,0,3,0,0,1.999997,4169.35526,42.999988,0
"XM_021051356.1",95,0,0,0,0,2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021042471.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021058271.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021039889.1",43,1231,146,920,0,0,0,398,319,0,0,0,1,357,861,0,0,615,12,231,2516,0
"XR_002335102.1",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"XM_021055035.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021048459.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021056408.1",0,16395.626778,0,0,0,4089.637372,0,0,460.959141,557.517562,0,0.000132,0,0,7969.631009,0,0,0,1294.670712,0,6199.904253,0
"XM_021049122.1",0,1,650,4382,0,5040,4014,735,0,1512,5,0,1,1,1,0,0,0,0,5689,5039,0
"XM_021051715.1",12.104119,0,0,0,0,0,126.083935,314,27,2,5.229193,0,0,0,0,0,0,0,496,602.144685,0,1678.499199
"XM_021044593.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021059559.1",0,70,28,0,921,1427,0,353,0,0,0,0,0,0,5394,1,0,1782,0,0,0,0
"XM_021037226.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021061947.1",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,4,0,0
"XM_021061302.1",0,0,287,0,0,0,0,166,0,0,0,0,0,0,0,0,0,770,0,0,989,0
"XM_021038471.1",0,0,3,0,35,0,642,21,1,0,0,0,0,0,0,0,0,0,0,242,0,0
"XM_021058150.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021055512.1",0,450.204506,0,0,0,258.77785,0,138.095853,182.973197,0,0,0,0,78.424388,0,0,0,0,0,0,0,1068.885749
"XM_021036660.1",0,0,0,0,0,28,0,0,0,72.958085,0,0,0,0,0,0,0,0,0,57,0,0
"XM_021042875.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
