"row ID","ApoSym_Mean","Sym_Mean","Apo_Mean","Nan_Mean","ApoNa_Mean","Significant_Sym_vs_Apo_suffix","Significant_Sym_vs_ApoSym_suffix","Significant_Nan_vs_Apo_suffix","Significant_Nan_vs_ApoNa_suffix","Significant_Sym_vs_Nan_suffix","Significant_ApoSym_vs_Apo_suffix","Significant_ApoNa_vs_Apo_suffix"
"K17914",1.7477524218102154,-2.197200124706211,-0.719469621136484,2.8909586975471857,-0.21036311592431706,0,0,0,0,0,0,0
"K17915",-0.4739799371368179,-2.2096459199306926,-0.2807187553816946,3.005772444006004,2.6713505500529013,0,0,0,0,0,0,0
"K17916",1.2110505077266962,-2.428804981430504,-0.6057532916968331,3.5202925102780465,0.32848875919985654,0,0,0,0,0,0,0
"K17917",0.2976843684999377,-0.9655036976311171,0.13547916690035391,1.4357528874251557,-0.22668471783007207,0,0,0,0,0,0,0
"K17918",0.8219322585553575,-2.7005710196856234,0.7604155891553359,1.782424208597172,0.9814714179229214,0,0,0,0,0,0,0
"K17919",2.477126783986159,-2.832594437589735,-3.0804057348219374,5.121222515834724,1.5494312774043784,0,0,0,0,0,0,0
"K17920",1.0801835113444396,-5.418487345915592,1.7798725415600016,4.196357636239851,1.8738569674172625,0,0,0,0,0,0,0
"K17921",1.5452255100970693,-3.882222304685887,-2.368082924204211,5.50929930372393,3.6265743291597445,0,0,0,0,0,0,0
"K17922",0.2389696814370641,-1.732400898492421,-0.2686292673362044,5.675195883352511,-2.1609614432024333,0,0,0,0,0,0,0
"K17923",2.1514764312746153,-3.25657510204662,-1.638522853012012,2.888527099390606,2.7697004742649627,,-100,0,0,0,0,0
"K17924",2.151766044144628,-5.153354230533353,2.3426916064342227,2.6506903763742056,0.16525533372775048,-25,-33.33333333333333,0,0,-33.33333333333333,0,0
"K17925",2.322725054405941,-2.22986031116775,-0.6696803311836892,0.9682930003956356,0.7363530832361138,,-100,,,,0,
"K17926",2.7288760134599803,-5.208392906534645,0.9388409917149587,6.445759596033577,-2.141835458255856,-100,-100,0,0,-100,0,0
"K17928",0.6919673242124305,-1.3376244471474776,-0.9887886535703023,1.945543185152641,1.224407924738766,0,0,0,0,0,0,0
"K17929",0.6276628258363974,-3.8797653869735957,1.572756289397327,3.4696348247869055,0.6225307571040736,,0,0,0,0,0,0
"K17931",-0.13753811468644783,-3.7288821162280206,2.4876323157930496,0.13121597086355563,3.4097245930814837,-100,-100,0,0,,0,0
"K17935",4.1297579735534455,-2.821252259464621,-1.2526929708028602,1.6689184287870393,-0.82152224777544,0,,0,0,0,0,0
"K17936",2.402682013469633,-1.429395472146123,-0.16338212504448402,2.5713213209841674,-3.4446968574005066,0,0,0,0,0,0,0
"K17941",3.3234079154421194,-2.8141722181459534,-1.1126132901062138,1.3522769928129137,0.5914097345858156,,-100,,,,0,
"K17943",2.4959821834897435,-5.6261327996884045,0.924658296228996,4.688383863426782,0.8628142697521289,-100,-100,0,0,-100,0,0
"K17951",0.3370841705073969,-1.2316636745018597,-1.0215050367454868,4.422597863515379,-0.8185690707815085,0,0,0,0,0,0,0
"K17963",1.2471142902242365,-2.69796917238641,-0.12200334865058995,4.007721545473826,-0.4869681033237476,0,0,0,0,0,0,0
"K17964",1.7777298142189681,-5.9842921668738445,2.6840906707111456,5.169639812394014,-0.6374229535298497,0,0,0,0,0,0,0
"K17966",2.5164493118693105,-2.618716602820665,-2.618716602820665,-1.2562289890705514,6.664107679630803,,-100,,-100,,100,100
"K17968",1.3537643917468916,-1.1873847571509673,0.4622007455377497,-1.187384757150967,0.5355457093118325,,,,,,,
"K17969",0.7162990079414316,-2.6492290766390187,-2.6492290766390187,4.733763273978396,3.7862449937956173,,-100,100,0,-100,100,100
"K17972",4.259134099686244,-3.221291270578703,-4.061505122309296,4.88280680256211,1.2303941096337168,,,0,0,,0,0
"K17973",3.4695511815436393,-1.8438083051034693,0.13778834691144337,3.9539369743940385,-6.278552911612236,0,0,0,100,0,0,-100
"K17981",1.0783717811245295,-2.505722259063509,-0.3705348154740713,5.015849992355043,-1.1841337503121234,,0,0,0,,0,0
"K17985",2.5490848348537662,-0.9930830638225856,-3.506169728871339,3.610822035698461,-0.029514418024003508,0,0,0,0,0,0,0
"K17986",0.8464573736439847,-1.4090420794961938,-0.6755398241075994,1.581964665147646,0.9512569112841001,,0,,,,0,
"K17987",0.6458437617896323,-1.5836307553122566,-0.11880369234900279,1.839813881418235,0.44904751347189925,0,0,0,0,0,0,0
"K17988",2.664546943555191,-1.9421082207189648,-1.2241640488618635,2.3523845197135933,-0.8688062360978792,,,,,,0,
"K17989",-1.8802549934863924,-1.1736660366917435,1.3934336145983435,3.1292611376842814,0.02943990051262002,0,,0,,,0,0
"K18024",-0.35596465187424076,-2.8626267682860083,1.1361622338639823,2.067969580376057,2.3569546528797245,0,0,0,0,0,0,0
"K18025",3.4992996867093233,-4.105824669570664,-1.6862749031006836,7.11085332723715,-1.920911960776886,0,0,0,0,0,0,0
"K18037",0.693791083899499,-0.8250453202783321,-0.825059698691713,2.6939311715428245,-0.8250595063324704,,,,,,,
"K18038",-0.1607906662811687,-1.3562466509811522,0.7915406853540761,0.5708732535270677,1.090370016647056,,,,,,,
"K18040",-1.0978132030105747,-1.9269584289100354,1.2486707435103048,3.5712043039775514,0.03128331967630393,0,0,0,0,0,0,0
"K18041",-0.20542068859378793,-3.932141800098637,1.9149574797559974,3.2676991541194926,1.7473564608074366,0,0,0,0,0,0,0
"K18042",2.3014203590785973,-3.6563033604367767,1.044371240867043,4.121306903687225,-2.3850195160564085,0,0,0,0,0,0,0
"K18047",2.9551605221010098,-2.46002521009412,-2.1283702824772464,3.5925031450753986,-0.050436457593430184,,0,0,50,0,0,0
"K18050",0.8505967604264,-2.2584526439028423,-3.166015188730469,6.856091184130035,1.519844817515762,,0,100,0,0,100,
"K18055",2.013392009864551,-1.8077987627226664,0.7360108683914341,-1.9744654293893327,1.0077248244080244,0,-50,,-100,0,0,
"K18061",0.3537263344337605,-2.4945636946221255,1.388794186670121,5.111124924565859,-3.026198403828078,0,0,0,50,0,0,-50
"K18066",2.0223954013071235,-2.6486079690066955,-0.28697601443302057,5.053458262229918,-2.6486079690066955,,-100,0,100,-100,0,
"K18078",2.347567878859736,-1.5348733114892152,-0.3786013687842832,1.323009084341892,-1.534873311489215,,0,,,,0,
"K18079",1.033614614067861,-5.962011226905038,1.6868857691496975,4.82304224930049,2.5668128991469956,,,0,0,,0,0
"K18080",1.0364742537115572,-1.1988873258226334,-0.7221759050733035,0.16481042886386088,1.7091336417176495,0,0,0,0,0,0,0
"K18081",4.0168495593595255,-5.974673327914708,-0.9023670825422644,5.562395422848246,1.196147104952397,0,-100,0,0,0,0,0
