"Repeat(Date)","Algae","Well_ID","Larvae","Number of Symbionts","Time_post_infection"
"II","M. gaditana","MII1",19,1,"1"
"II","M. gaditana","MII1",20,10,"1"
"II","M. gaditana","MII1",21,0,"1"
"II","M. gaditana","MII1",22,0,"1"
"II","M. gaditana","MII1",23,4,"1"
"II","M. gaditana","MII1",24,4,"1"
"II","M. gaditana","MII1",25,1,"1"
"II","M. gaditana","MII1",26,1,"1"
"II","M. gaditana","MII1",27,5,"1"
"II","M. gaditana","MII1",28,1,"1"
"II","M. gaditana","MII1",29,1,"1"
"II","M. gaditana","MII1",30,0,"1"
"II","M. gaditana","MII1",31,0,"1"
"II","M. gaditana","MII1",32,6,"1"
"II","M. gaditana","MII1",33,1,"1"
"II","M. gaditana","MII1",34,3,"1"
"II","M. gaditana","MII1",35,0,"1"
"II","M. gaditana","MII1",36,0,"1"
"III","M. gaditana","MIII1",1,1,"1"
"III","M. gaditana","MIII1",2,0,"1"
"III","M. gaditana","MIII1",3,6,"1"
"III","M. gaditana","MIII1",4,8,"1"
"III","M. gaditana","MIII1",5,4,"1"
"III","M. gaditana","MIII1",6,5,"1"
"III","M. gaditana","MIII1",7,4,"1"
"III","M. gaditana","MIII1",8,0,"1"
"III","M. gaditana","MIII1",9,7,"1"
"III","M. gaditana","MIII1",10,5,"1"
"III","M. gaditana","MIII1",11,13,"1"
"III","M. gaditana","MIII1",12,5,"1"
"III","M. gaditana","MIII1",13,0,"1"
"III","M. gaditana","MIII1",14,2,"1"
"III","M. gaditana","MIII1",15,6,"1"
"III","M. gaditana","MIII1",16,0,"1"
"III","M. gaditana","MIII1",17,1,"1"
"III","M. gaditana","MIII1",18,10,"1"
"III","M. gaditana","MIII1",19,4,"1"
"III","M. gaditana","MIII1",20,16,"1"
"III","M. gaditana","MIII1",21,2,"1"
"III","M. gaditana","MIII1",22,4,"1"
"III","M. gaditana","MIII1",23,8,"1"
"III","M. gaditana","MIII1",24,6,"1"
"III","M. gaditana","MIII1",25,10,"1"
"III","M. gaditana","MIII1",26,0,"1"
"III","M. gaditana","MIII1",27,10,"1"
"III","M. gaditana","MIII1",28,2,"1"
"III","M. gaditana","MIII1",29,0,"1"
"III","M. gaditana","MIII1",30,5,"1"
"III","M. gaditana","MIII1",31,11,"1"
"III","M. gaditana","MIII1",32,3,"1"
"III","M. gaditana","MIII1",33,6,"1"
"III","M. gaditana","MIII1",34,1,"1"
"III","M. gaditana","MIII1",35,12,"1"
"III","M. gaditana","MIII1",36,4,"1"
"III","M. gaditana","MIII1",37,10,"1"
"III","M. gaditana","MIII1",38,11,"1"
"III","M. gaditana","MIII1",39,9,"1"
"III","M. gaditana","MIII1",40,5,"1"
"III","M. gaditana","MIII1",41,8,"1"
"III","M. gaditana","MIII1",42,10,"1"
"III","M. gaditana","MIII1",43,6,"1"
"III","M. gaditana","MIII1",44,6,"1"
"III","M. gaditana","MIII1",45,4,"1"
"III","M. gaditana","MIII1",46,3,"1"
"III","M. gaditana","MIII1",47,0,"1"
"III","M. gaditana","MIII1",48,10,"1"
"III","M. gaditana","MIII1",49,3,"1"
"III","M. gaditana","MIII1",50,14,"1"
"IV","M. gaditana","MIV1",1,0,"1"
"IV","M. gaditana","MIV1",2,10,"1"
"IV","M. gaditana","MIV1",3,4,"1"
"IV","M. gaditana","MIV1",4,4,"1"
"IV","M. gaditana","MIV1",5,2,"1"
"IV","M. gaditana","MIV1",6,2,"1"
"IV","M. gaditana","MIV1",7,0,"1"
"IV","M. gaditana","MIV1",8,1,"1"
"IV","M. gaditana","MIV1",9,4,"1"
"IV","M. gaditana","MIV1",10,5,"1"
"IV","M. gaditana","MIV1",11,1,"1"
"IV","M. gaditana","MIV1",12,6,"1"
"IV","M. gaditana","MIV1",13,3,"1"
"IV","M. gaditana","MIV1",14,7,"1"
"IV","M. gaditana","MIV1",15,4,"1"
"IV","M. gaditana","MIV1",16,2,"1"
"IV","M. gaditana","MIV1",17,3,"1"
"IV","M. gaditana","MIV1",18,6,"1"
"IV","M. gaditana","MIV1",19,7,"1"
"IV","M. gaditana","MIV1",20,6,"1"
"IV","M. gaditana","MIV1",21,1,"1"
"IV","M. gaditana","MIV1",22,0,"1"
"IV","M. gaditana","MIV1",23,5,"1"
"IV","M. gaditana","MIV1",24,8,"1"
"IV","M. gaditana","MIV1",25,0,"1"
"IV","M. gaditana","MIV1",26,2,"1"
"IV","M. gaditana","MIV1",27,0,"1"
"IV","M. gaditana","MIV1",28,2,"1"
"IV","M. gaditana","MIV1",29,1,"1"
"IV","M. gaditana","MIV1",30,1,"1"
"IV","M. gaditana","MIV1",31,0,"1"
"IV","M. gaditana","MIV1",32,2,"1"
"IV","M. gaditana","MIV1",33,1,"1"
"IV","M. gaditana","MIV1",34,0,"1"
"IV","M. gaditana","MIV1",35,3,"1"
"IV","M. gaditana","MIV1",36,0,"1"
"IV","M. gaditana","MIV1",37,10,"1"
"IV","M. gaditana","MIV1",38,6,"1"
"IV","M. gaditana","MIV1",39,1,"1"
"IV","M. gaditana","MIV1",40,5,"1"
"IV","M. gaditana","MIV1",41,0,"1"
"IV","M. gaditana","MIV1",42,13,"1"
"IV","M. gaditana","MIV1",43,6,"1"
"IV","M. gaditana","MIV1",44,3,"1"
"IV","M. gaditana","MIV1",45,6,"1"
"IV","M. gaditana","MIV1",46,0,"1"
"IV","M. gaditana","MIV1",47,0,"1"
"IV","M. gaditana","MIV1",48,2,"1"
"IV","M. gaditana","MIV1",49,2,"1"
"IV","M. gaditana","MIV1",50,4,"1"
"V","M. gaditana","MV1",1,0,"1"
"V","M. gaditana","MV1",2,0,"1"
"V","M. gaditana","MV1",3,3,"1"
"V","M. gaditana","MV1",4,0,"1"
"V","M. gaditana","MV1",5,3,"1"
"V","M. gaditana","MV1",6,1,"1"
"V","M. gaditana","MV1",7,1,"1"
"V","M. gaditana","MV1",8,2,"1"
"V","M. gaditana","MV1",9,2,"1"
"V","M. gaditana","MV1",10,3,"1"
"V","M. gaditana","MV1",11,0,"1"
"V","M. gaditana","MV1",12,1,"1"
"V","M. gaditana","MV1",13,0,"1"
"V","M. gaditana","MV1",14,0,"1"
"V","M. gaditana","MV1",15,3,"1"
"V","M. gaditana","MV1",16,1,"1"
"V","M. gaditana","MV1",17,0,"1"
"V","M. gaditana","MV1",18,1,"1"
"V","M. gaditana","MV1",19,0,"1"
"V","M. gaditana","MV1",20,3,"1"
"V","M. gaditana","MV1",21,0,"1"
"V","M. gaditana","MV1",22,2,"1"
"V","M. gaditana","MV1",23,1,"1"
"V","M. gaditana","MV1",24,2,"1"
"V","M. gaditana","MV1",25,1,"1"
"V","M. gaditana","MV1",26,3,"1"
"V","M. gaditana","MV1",27,1,"1"
"V","M. gaditana","MV1",28,1,"1"
"V","M. gaditana","MV1",29,0,"1"
"V","M. gaditana","MV1",30,2,"1"
